method,sample_group_id,spatial_block,forest_class,target_year,horizon_seasons,mae,mape_percent,psnr_db,sam_degrees,pixels
seasonal_median,1677,1209_255,conifer,2025,1,0.0267273485660552,26.223369598388672,27.068522912068293,6.462518215179443,128
seasonal_median,1678,1209_255,conifer,2025,2,0.0239575505256652,25.04607391357422,27.18259224062812,5.948031425476074,128
seasonal_median,1679,1209_255,conifer,2025,4,0.0218004193156957,23.359582901000977,29.88629226032845,5.692637920379639,128
seasonal_median,1740,1210_258,conifer,2024,1,0.0078347297385334,10.592090606689451,36.14908377073578,2.410361289978028,128
seasonal_median,1741,1210_258,conifer,2024,2,0.0075083225965499,8.6471529006958,34.208427226886066,2.151413917541504,128
seasonal_median,1742,1210_258,conifer,2024,4,0.0086447848007082,9.674817085266112,32.99698233014953,2.423586368560791,128
seasonal_median,1743,1210_258,conifer,2024,1,0.0099090533331036,13.296638488769531,37.026267650775566,2.999194383621216,128
seasonal_median,1744,1210_258,conifer,2024,2,0.0086569190025329,11.940523147583008,38.322760858398894,2.8155622482299805,128
seasonal_median,1745,1210_258,conifer,2024,4,0.0093262195587158,11.924973487854004,36.60800899779149,2.7298519611358643,128
seasonal_median,1746,1210_258,conifer,2024,1,0.0050725638866424,6.159389019012451,41.42104881065752,1.431515097618103,128
seasonal_median,1747,1210_258,conifer,2024,2,0.0052227973937988,6.279692649841309,40.9380994458717,1.393416166305542,128
seasonal_median,1748,1210_258,conifer,2024,4,0.0053422949276864,6.242291450500488,40.99145701296459,1.3089473247528076,128
seasonal_median,1749,1210_258,conifer,2024,1,0.0084389997646212,10.772768020629885,36.25205901694945,2.2219624519348145,128
seasonal_median,1750,1210_258,conifer,2024,2,0.0080421566963195,10.663994789123535,36.4854336665208,1.956218957901001,128
seasonal_median,1751,1210_258,conifer,2024,4,0.0077671133913099,9.600865364074709,37.06219297542215,2.0197296142578125,128
seasonal_median,1752,1210_258,conifer,2025,1,0.0053872563876211,8.478835105895996,39.81743653485949,2.2435662746429443,128
seasonal_median,1753,1210_258,conifer,2025,2,0.0060743759386241,11.416929244995115,37.252746096540086,2.3117518424987797,128
