sample_group_id,window_index,window_id,spatial_block,forest_class_code,forest_class,fold,target_day,target_date,target_year,target_quarter,horizon_seasons,support_pixels,method,method_label,pixels,mae,mape_percent,psnr_db,sam_degrees
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,last_observation,Last valid observation,128,0.0181700382381677,17.689926147460938,32.10481440592476,4.747373580932617
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,gru_h8,"GRU, 8-step history",128,0.0175668094307184,16.77301025390625,32.280177982506586,4.8839192390441895
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,gru_h16,"GRU, 16-step history",128,0.0162558536976575,15.73973560333252,32.95363294753712,4.312455177307129
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,transformer_h8,"Transformer, 8-step history",128,0.0170888137072324,16.280168533325195,32.5042562253278,4.664130687713623
65,0,NORMAL_0011,1209_249,1,broadleaf,2,19828,2024-04-15,2024,2,4,128,transformer_h16,"Transformer, 16-step history",128,0.0163318607956171,15.76990032196045,32.92932442589321,4.281436920166016
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,seasonal_median,Seasonal median,128,0.011997103691101,11.465672492980955,33.57627310887372,2.85860013961792
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,validation_selected_physical,Validation-selected physical phenology,128,0.0121113313362002,11.123863220214844,33.42434801994906,2.964831590652466
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,shared_residual_ssm,Shared residual SSM,128,0.0111555205658078,10.4331636428833,34.13595779704962,2.7401270866394043
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0111079318448901,10.004926681518556,34.12021912968507,2.7339751720428467
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,validation_selected_transformer,Matched causal Transformer,128,0.0102627882733941,9.399480819702148,34.573324954087724,2.5035195350646973
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,presto_frozen,Frozen Presto encoder + residual head,128,0.0122102759778499,12.033825874328612,33.57528170816353,2.930440902709961
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,validation_selected_gru,Matched GRU residual backbone,128,0.0094611085951328,8.344769477844238,35.02866670049531,2.3070178031921387
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,forest_conditioned_gru,Forest-conditioned GRU expected-normal,128,0.0094031253829598,8.139084815979004,35.05226236988034,2.298557758331299
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,last_observation,Last valid observation,128,0.0215332899242639,25.721040725708008,29.97162369600128,5.609842300415039
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,gru_h8,"GRU, 8-step history",128,0.0094611085951328,8.344769477844238,35.02866670049531,2.3070178031921387
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,gru_h16,"GRU, 16-step history",128,0.0118723949417471,11.41258144378662,33.69197191196853,2.849435329437256
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,transformer_h8,"Transformer, 8-step history",128,0.0102627882733941,9.399480819702148,34.573324954087724,2.5035195350646973
66,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,1,128,transformer_h16,"Transformer, 16-step history",128,0.0119847953319549,11.49328327178955,33.623216329530045,2.860295534133911
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,seasonal_median,Seasonal median,128,0.0135612292215228,12.690119743347168,31.87437971582996,3.2174291610717773
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,validation_selected_physical,Validation-selected physical phenology,128,0.0134185142815113,12.61444854736328,31.84381723495079,3.267488479614258
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,shared_residual_ssm,Shared residual SSM,128,0.0129784643650054,12.34372901916504,32.1763779791959,3.199436664581299
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0129189072176814,12.152721405029297,32.16167918034058,3.2170116901397705
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,validation_selected_transformer,Matched causal Transformer,128,0.0121670961380004,10.623275756835938,32.44521741274723,2.904329299926758
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,presto_frozen,Frozen Presto encoder + residual head,128,0.0138951987028121,13.444108963012695,31.81339003280148,3.3537392616271973
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,validation_selected_gru,Matched GRU residual backbone,128,0.0116399303078651,10.09275722503662,32.603788578895426,2.791749954223633
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,forest_conditioned_gru,Forest-conditioned GRU expected-normal,128,0.0116439526900649,10.12181282043457,32.594479435048804,2.804497241973877
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,last_observation,Last valid observation,128,0.0335704796016216,25.893035888671875,26.36702579778225,3.9136786460876474
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,gru_h8,"GRU, 8-step history",128,0.0116399303078651,10.09275722503662,32.603788578895426,2.791749954223633
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,gru_h16,"GRU, 16-step history",128,0.0135482875630259,12.709670066833496,31.89588000810981,3.268607378005981
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,transformer_h8,"Transformer, 8-step history",128,0.0121670961380004,10.623275756835938,32.44521741274723,2.904329299926758
67,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,2,128,transformer_h16,"Transformer, 16-step history",128,0.0135964602231979,12.71810817718506,31.85582062714077,3.248120069503784
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,seasonal_median,Seasonal median,128,0.0125009315088391,11.733988761901855,32.511615076573875,2.971385717391968
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,validation_selected_physical,Validation-selected physical phenology,128,0.0124766575172543,11.248250007629396,32.37318827911424,2.9945669174194336
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,shared_residual_ssm,Shared residual SSM,128,0.0120313391089439,11.142858505249023,32.68279581695027,2.8972930908203125
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0119264246895909,10.556665420532228,32.577005121129474,2.8650543689727783
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,validation_selected_transformer,Matched causal Transformer,128,0.0120374970138072,10.189715385437012,32.54108777035022,2.884620428085327
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,presto_frozen,Frozen Presto encoder + residual head,128,0.012692853808403,12.126158714294434,32.42890851840622,3.0531234741210938
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,validation_selected_gru,Matched GRU residual backbone,128,0.0115468790754675,9.571734428405762,32.81225814772414,2.7518646717071533
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,forest_conditioned_gru,Forest-conditioned GRU expected-normal,128,0.0115823745727539,9.242340087890623,32.68635358394404,2.7575972080230717
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,last_observation,Last valid observation,128,0.0123615069314837,10.611577033996582,32.21861958671858,2.9789013862609863
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,gru_h8,"GRU, 8-step history",128,0.0115468790754675,9.571734428405762,32.81225814772414,2.7518646717071533
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,gru_h16,"GRU, 16-step history",128,0.0123978955671191,11.717058181762695,32.53081479969647,2.9936728477478027
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,transformer_h8,"Transformer, 8-step history",128,0.0120374970138072,10.189715385437012,32.54108777035022,2.884620428085327
68,0,NORMAL_0011,1209_249,1,broadleaf,2,19919,2024-07-15,2024,3,4,128,transformer_h16,"Transformer, 16-step history",128,0.0125365601852536,11.73028564453125,32.46392368185792,2.987750291824341
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128,seasonal_median,Seasonal median,128,0.0113078458234667,10.668087005615234,33.695951043508686,2.515366315841675
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128,validation_selected_physical,Validation-selected physical phenology,128,0.0111366054043173,10.427349090576172,33.77616577943185,2.461980104446411
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128,shared_residual_ssm,Shared residual SSM,128,0.0109327929094433,10.062889099121094,33.93079292036448,2.431513786315918
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128,forest_conditioned_ssm,Forest-conditioned residual SSM,128,0.0108869634568691,9.574714660644531,33.82673431130046,2.357750177383423
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128,validation_selected_transformer,Matched causal Transformer,128,0.0105266124010086,10.16153335571289,34.29013088052064,2.4265944957733154
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128,presto_frozen,Frozen Presto encoder + residual head,128,0.0112929539754986,10.138229370117188,33.63902815202549,2.5128395557403564
69,0,NORMAL_0011,1209_249,1,broadleaf,2,20011,2024-10-15,2024,4,1,128,validation_selected_gru,Matched GRU residual backbone,128,0.0097961714491248,9.697186470031738,34.94475113410814,2.2121739387512207
