window_id,truth_id,event_group_id,source_split,forest_class_code,forest_class_label,before_date,after_date,target_date,post_event_delay_days,method,evaluation_scope,event_pixels_total,event_pixels,background_pixels,event_history_support_fraction,eligible_history_support_fraction,event_residual_mean,background_residual_mean,residual_ratio,auroc,auprc,topk_iou,topk_precision,topk_recall
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,direct_pair,all_target,53,53,3930,0.0,0.436767578125,0.1660091876983642,0.0748006328940391,2.219355344772339,0.9529238081520957,0.4130609378956493,0.3086419753086419,0.4716981132075472,0.4716981132075472
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,direct_pair,history_supported,53,0,1789,0.0,0.436767578125,,0.025439778342843,,,,,,
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,seasonal_median,all_target,53,53,3930,0.0,0.436767578125,0.1660091876983642,0.0692572966217994,2.3969919681549072,0.9528373901771569,0.4130299030418329,0.3086419753086419,0.4716981132075472,0.4716981132075472
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,seasonal_median,history_supported,53,0,1789,0.0,0.436767578125,,0.0132624078541994,,,,,,
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,validation_selected_physical,all_target,53,53,3930,0.0,0.436767578125,0.1660091876983642,0.0693714842200279,2.3930466175079346,0.952784579192472,0.4130172601188808,0.3086419753086419,0.4716981132075472,0.4716981132075472
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,validation_selected_physical,history_supported,53,0,1789,0.0,0.436767578125,,0.0135132567957043,,,,,,
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,gru_h8,all_target,53,53,3930,0.0,0.436767578125,0.1500520259141922,0.0600336603820323,2.499464988708496,0.95285179317298,0.4130445266097853,0.3086419753086419,0.4716981132075472,0.4716981132075472
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,gru_h8,history_supported,53,0,1789,0.0,0.436767578125,,0.0120823271572589,,,,,,
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,forest_conditioned_gru,all_target,53,53,3930,0.0,0.436767578125,0.1500520259141922,0.0600336603820323,2.499464988708496,0.95285179317298,0.4130445266097853,0.3086419753086419,0.4716981132075472,0.4716981132075472
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,forest_conditioned_gru,history_supported,53,0,1789,0.0,0.436767578125,,0.0120823271572589,,,,,,
