window_id,forest_class,date,year,quarter,ndvi
NORMAL_0142,broadleaf,2021-01-15,2021,1,0.865966796875
NORMAL_0142,broadleaf,2021-04-15,2021,2,0.73828125
NORMAL_0142,broadleaf,2021-07-15,2021,3,0.86865234375
NORMAL_0142,broadleaf,2021-10-15,2021,4,0.86376953125
NORMAL_0142,broadleaf,2022-01-15,2022,1,0.8427734375
NORMAL_0142,broadleaf,2022-04-15,2022,2,0.841796875
NORMAL_0142,broadleaf,2022-07-15,2022,3,0.86767578125
NORMAL_0142,broadleaf,2022-10-15,2022,4,0.8671875
NORMAL_0142,broadleaf,2023-01-15,2023,1,0.855712890625
NORMAL_0142,broadleaf,2023-04-15,2023,2,0.74169921875
NORMAL_0142,broadleaf,2023-07-15,2023,3,0.88330078125
NORMAL_0142,broadleaf,2023-10-15,2023,4,0.876953125
NORMAL_0142,broadleaf,2024-01-15,2024,1,0.86962890625
NORMAL_0142,broadleaf,2024-04-15,2024,2,0.8232421875
NORMAL_0142,broadleaf,2024-07-15,2024,3,0.8681640625
NORMAL_0142,broadleaf,2024-10-15,2024,4,0.8837890625
NORMAL_0142,broadleaf,2025-01-15,2025,1,0.861083984375
NORMAL_0142,broadleaf,2025-04-15,2025,2,0.86181640625
NORMAL_0142,broadleaf,2025-07-15,2025,3,0.86279296875
NORMAL_0142,broadleaf,2025-10-15,2025,4,0.8984375
NORMAL_0144,broadleaf,2018-01-15,2018,1,0.7861328125
NORMAL_0144,broadleaf,2018-04-15,2018,2,0.91357421875
NORMAL_0144,broadleaf,2019-01-15,2019,1,0.80712890625
NORMAL_0144,broadleaf,2019-04-15,2019,2,0.74658203125
NORMAL_0144,broadleaf,2019-07-15,2019,3,0.7080078125
NORMAL_0144,broadleaf,2019-10-15,2019,4,0.849609375
NORMAL_0144,broadleaf,2020-01-15,2020,1,0.82177734375
NORMAL_0144,broadleaf,2020-04-15,2020,2,0.798828125
NORMAL_0144,broadleaf,2020-07-15,2020,3,0.86474609375
NORMAL_0144,broadleaf,2020-10-15,2020,4,0.86572265625
NORMAL_0144,broadleaf,2021-01-15,2021,1,0.8662109375
NORMAL_0144,broadleaf,2021-04-15,2021,2,0.69677734375
NORMAL_0144,broadleaf,2021-07-15,2021,3,0.89111328125
NORMAL_0144,broadleaf,2021-10-15,2021,4,0.841796875
NORMAL_0144,broadleaf,2022-01-15,2022,1,0.845703125
NORMAL_0144,broadleaf,2022-04-15,2022,2,0.83349609375
NORMAL_0144,broadleaf,2022-07-15,2022,3,0.8818359375
NORMAL_0144,broadleaf,2022-10-15,2022,4,0.857421875
NORMAL_0144,broadleaf,2023-01-15,2023,1,0.8251953125
NORMAL_0144,broadleaf,2023-04-15,2023,2,0.71484375
NORMAL_0144,broadleaf,2023-07-15,2023,3,0.88720703125
NORMAL_0144,broadleaf,2023-10-15,2023,4,0.880859375
NORMAL_0144,broadleaf,2024-01-15,2024,1,0.861328125
NORMAL_0144,broadleaf,2024-04-15,2024,2,0.7333984375
NORMAL_0144,broadleaf,2024-07-15,2024,3,0.880859375
NORMAL_0144,broadleaf,2024-10-15,2024,4,0.8828125
NORMAL_0144,broadleaf,2025-01-15,2025,1,0.859375
NORMAL_0144,broadleaf,2025-04-15,2025,2,0.81494140625
NORMAL_0144,broadleaf,2025-07-15,2025,3,0.8896484375
NORMAL_0144,broadleaf,2025-10-15,2025,4,0.890625
NORMAL_0210,broadleaf,2018-01-15,2018,1,0.71728515625
NORMAL_0210,broadleaf,2019-01-15,2019,1,0.738525390625
NORMAL_0210,broadleaf,2019-04-15,2019,2,0.7685546875
NORMAL_0210,broadleaf,2019-07-15,2019,3,0.861328125
NORMAL_0210,broadleaf,2019-10-15,2019,4,0.85498046875
NORMAL_0210,broadleaf,2020-01-15,2020,1,0.80712890625
NORMAL_0210,broadleaf,2020-04-15,2020,2,0.7509765625
NORMAL_0210,broadleaf,2020-07-15,2020,3,0.87939453125
NORMAL_0210,broadleaf,2020-10-15,2020,4,0.845703125
NORMAL_0210,broadleaf,2021-01-15,2021,1,0.84326171875
NORMAL_0210,broadleaf,2021-04-15,2021,2,0.69140625
NORMAL_0210,broadleaf,2021-07-15,2021,3,0.775390625
NORMAL_0210,broadleaf,2021-10-15,2021,4,0.8740234375
NORMAL_0210,broadleaf,2022-01-15,2022,1,0.86474609375
NORMAL_0210,broadleaf,2022-04-15,2022,2,0.821533203125
NORMAL_0210,broadleaf,2022-07-15,2022,3,0.851318359375
NORMAL_0210,broadleaf,2022-10-15,2022,4,0.85107421875
NORMAL_0210,broadleaf,2023-01-15,2023,1,0.80322265625
NORMAL_0210,broadleaf,2023-04-15,2023,2,0.74609375
NORMAL_0210,broadleaf,2023-07-15,2023,3,0.8701171875
NORMAL_0210,broadleaf,2023-10-15,2023,4,0.85205078125
NORMAL_0210,broadleaf,2024-01-15,2024,1,0.809326171875
NORMAL_0210,broadleaf,2024-04-15,2024,2,0.705078125
NORMAL_0210,broadleaf,2024-07-15,2024,3,0.853515625
NORMAL_0210,broadleaf,2024-10-15,2024,4,0.86083984375
NORMAL_0210,broadleaf,2025-01-15,2025,1,0.8544921875
NORMAL_0210,broadleaf,2025-04-15,2025,2,0.75048828125
NORMAL_0210,broadleaf,2025-07-15,2025,3,0.8603515625
NORMAL_0210,broadleaf,2025-10-15,2025,4,0.8779296875
NORMAL_0218,broadleaf,2018-01-15,2018,1,0.55224609375
NORMAL_0218,broadleaf,2018-04-15,2018,2,0.628173828125
NORMAL_0218,broadleaf,2019-01-15,2019,1,0.66796875
NORMAL_0218,broadleaf,2019-04-15,2019,2,0.5849609375
NORMAL_0218,broadleaf,2019-07-15,2019,3,0.76904296875
NORMAL_0218,broadleaf,2019-10-15,2019,4,0.693359375
NORMAL_0218,broadleaf,2020-01-15,2020,1,0.65185546875
NORMAL_0218,broadleaf,2020-04-15,2020,2,0.592041015625
NORMAL_0218,broadleaf,2020-07-15,2020,3,0.78466796875
NORMAL_0218,broadleaf,2020-10-15,2020,4,0.700927734375
NORMAL_0218,broadleaf,2021-01-15,2021,1,0.67041015625
NORMAL_0218,broadleaf,2021-04-15,2021,2,0.50537109375
NORMAL_0218,broadleaf,2021-07-15,2021,3,0.78564453125
NORMAL_0218,broadleaf,2021-10-15,2021,4,0.79541015625
NORMAL_0218,broadleaf,2022-01-15,2022,1,0.7099609375
NORMAL_0218,broadleaf,2022-04-15,2022,2,0.681640625
NORMAL_0218,broadleaf,2022-07-15,2022,3,0.814453125
NORMAL_0218,broadleaf,2022-10-15,2022,4,0.7685546875
NORMAL_0218,broadleaf,2023-01-15,2023,1,0.638671875
NORMAL_0218,broadleaf,2023-04-15,2023,2,0.50390625
NORMAL_0218,broadleaf,2023-07-15,2023,3,0.814453125
NORMAL_0218,broadleaf,2023-10-15,2023,4,0.76904296875
NORMAL_0218,broadleaf,2024-01-15,2024,1,0.7314453125
NORMAL_0218,broadleaf,2024-04-15,2024,2,0.523193359375
