stratum,horizon_seasons,method,groups,windows,spatial_blocks,mae,mape_percent,psnr_db,sam_degrees
class:broadleaf,1,shared_residual_ssm,128,16,15,0.0136035108589567,12.292696088552477,33.447307283127614,3.820853971876204
class:broadleaf,1,transformer_h16,128,16,15,0.0138741273185587,12.69630865752697,33.276096476001555,3.883966962806881
class:broadleaf,1,transformer_h8,128,16,15,0.0133958823280408,12.29855727031827,33.62428808863024,3.810501579195261
class:broadleaf,1,validation_selected_gru,128,16,15,0.0131516631918202,12.069854576140642,33.821394675830135,3.7314689811319113
class:broadleaf,1,validation_selected_physical,128,16,15,0.0136738494074961,13.016419246792791,33.613013963764146,3.8823528829962015
class:broadleaf,1,validation_selected_transformer,128,16,15,0.0133958823280408,12.29855727031827,33.62428808863024,3.810501579195261
class:broadleaf,2,forest_conditioned_gru,128,16,15,0.0129913199925795,11.9526055008173,34.05146442104706,3.6519504273310304
class:broadleaf,2,forest_conditioned_ssm,128,16,15,0.0133308076547109,12.13411906734109,33.79542968211561,3.747151320800185
class:broadleaf,2,gru_h16,128,16,15,0.0138955971997347,12.539518315345047,33.31919570187317,3.89299111161381
class:broadleaf,2,gru_h8,128,16,15,0.0131901489658048,11.99736262112856,33.84753851522829,3.713021864183247
class:broadleaf,2,last_observation,128,16,15,0.0322926216758787,31.618041053414345,26.921066127120405,7.80494674667716
class:broadleaf,2,presto_frozen,128,16,15,0.0138754140898527,12.562129683792593,33.32972911341831,3.888550299219787
class:broadleaf,2,seasonal_median,128,16,15,0.0140608816000167,12.884159952402117,33.22904135813745,3.982779398560524
class:broadleaf,2,shared_residual_ssm,128,16,15,0.0136469536373624,12.230802770704033,33.47872387148617,3.830073211342096
class:broadleaf,2,transformer_h16,128,16,15,0.0138885520609619,12.588116936385632,33.32221389568737,3.891243095509708
class:broadleaf,2,transformer_h8,128,16,15,0.013433540603728,12.181806858628988,33.63895184703266,3.8012006683275104
class:broadleaf,2,validation_selected_gru,128,16,15,0.0131901489658048,11.99736262112856,33.84753851522829,3.713021864183247
class:broadleaf,2,validation_selected_physical,128,16,15,0.0137248031751369,12.95060546696186,33.606606271811124,3.8959501488134265
class:broadleaf,2,validation_selected_transformer,128,16,15,0.013433540603728,12.181806858628988,33.63895184703266,3.8012006683275104
class:broadleaf,4,forest_conditioned_gru,128,16,15,0.013410030187515,12.141705144196749,33.718919208527154,3.757035313174129
class:broadleaf,4,forest_conditioned_ssm,128,16,15,0.0135337777282984,12.284347832202911,33.60130789280832,3.798285260796547
class:broadleaf,4,gru_h16,128,16,15,0.0140237160048855,12.655996933579445,33.20029616167341,3.9184718932956457
class:broadleaf,4,gru_h8,128,16,15,0.0136115753666672,12.215897224843502,33.53925398086153,3.811133343726397
class:broadleaf,4,last_observation,128,16,15,0.0160157357204298,15.253153465688229,32.209380494227496,4.545263445004821
class:broadleaf,4,presto_frozen,128,16,15,0.0139637352076533,12.655211720615624,33.23907173213641,3.913817194290459
class:broadleaf,4,seasonal_median,128,16,15,0.0141017236455809,12.91835244745016,33.161570014659816,3.984358453191817
class:broadleaf,4,shared_residual_ssm,128,16,15,0.0138638584030559,12.42107493802905,33.31154549613131,3.882202218286693
class:broadleaf,4,transformer_h16,128,16,15,0.0139619684887293,12.652546413242815,33.23371967879491,3.909064799547195
class:broadleaf,4,transformer_h8,128,16,15,0.0137731429786072,12.353067431598902,33.374824403331,3.890326070599258
class:broadleaf,4,validation_selected_gru,128,16,15,0.0136115753666672,12.215897224843502,33.53925398086153,3.811133343726397
class:broadleaf,4,validation_selected_physical,128,16,15,0.0137560232979012,12.943886928260326,33.51071848094193,3.8955277167260647
class:broadleaf,4,validation_selected_transformer,128,16,15,0.0137731429786072,12.353067431598902,33.374824403331,3.890326070599258
class:conifer,all,forest_conditioned_gru,384,16,15,0.0101298594484736,12.703365782896675,36.93774728169269,3.1896692933514714
class:conifer,all,forest_conditioned_ssm,384,16,15,0.0102653393708654,13.0648342606922,36.75257480703752,3.163467991476258
class:conifer,all,gru_h16,384,16,15,0.0104897388943451,13.613257501274347,36.60712124004722,3.276636597700417
class:conifer,all,gru_h8,384,16,15,0.0101298594484736,12.703365782896675,36.93774728169269,3.1896692933514714
class:conifer,all,last_observation,384,16,15,0.0218920980817832,31.570563505093254,31.19605399268177,5.149040595007439
class:conifer,all,presto_frozen,384,16,15,0.0104647952527254,13.653954894592363,36.65579896248583,3.249703158314029
class:conifer,all,seasonal_median,384,16,15,0.0105884203973497,13.512235569457212,36.50206044976523,3.226291114464402
class:conifer,all,shared_residual_ssm,384,16,15,0.0102653393708654,13.0648342606922,36.75257480703752,3.163467991476258
class:conifer,all,transformer_h16,384,16,15,0.0104497168928598,13.549145286281904,36.65093069644964,3.2441032513355217
