candidate,baseline,stratum,horizon_seasons,groups,windows,spatial_blocks,mae_gain,mae_ci_low,mae_ci_high,mae_win_fraction,mape_gain,mape_ci_low,mape_ci_high,mape_win_fraction,psnr_gain,psnr_ci_low,psnr_ci_high,psnr_win_fraction,sam_gain,sam_ci_low,sam_ci_high,sam_win_fraction
forest_conditioned_gru,last_observation,bamboo,1,128,16,16,0.0118658151804993,0.0106316721353323,0.0131421549517654,0.9609375,10.455786891281605,9.263871670793742,11.71446512741968,0.953125,5.384846907469557,4.892259422104097,5.833576570304122,0.9453125,1.5499089965596795,1.2903590444009752,1.8215636704815552,0.8515625
forest_conditioned_gru,last_observation,overall,2,384,48,43,0.0191173751775559,0.0178878468541624,0.0204364865721419,0.9713541666666666,21.90113731248434,19.064224621878804,25.0119947178246,0.96875,7.578807950998407,7.205221387365195,7.966476734358562,0.9661458333333334,3.0305912226091984,2.639080374640261,3.475262905843556,0.9739583333333334
forest_conditioned_gru,last_observation,broadleaf,2,128,16,15,0.0193979268001082,0.0176943843958239,0.0212206593520628,0.9921875,18.98906665245692,14.972440666059653,23.79875986913838,0.9921875,7.152895079068284,6.655817292514417,7.71873896296325,0.9921875,4.0582414428393045,3.2325208348284167,5.009909569571415,0.96875
forest_conditioned_gru,last_observation,conifer,2,128,16,15,0.0196982473358123,0.017189514668765,0.0226283432060396,0.953125,30.390267151594163,26.0161699650685,35.34021156008045,0.9375,8.489446324986556,7.886252134652551,9.100615513683945,0.9375,2.9343857939044637,2.5603615600119034,3.341859838453432,0.984375
forest_conditioned_gru,last_observation,bamboo,2,128,16,16,0.0179598384493147,0.0162885540745264,0.0196657905873507,0.96875,15.34294567629695,13.781417954992502,16.946335245575753,0.9765625,7.131987988977688,6.666416249618948,7.572783991372354,0.96875,2.1549572506919503,1.823450749879703,2.504233912471681,0.96875
forest_conditioned_gru,last_observation,overall,4,384,48,43,0.0029735369357377,0.0024004308359635,0.0036369667201185,0.859375,4.766295279874358,3.450625463921664,6.400457437856252,0.8229166666666666,1.6946166956298143,1.4514289185889144,1.941020782534505,0.859375,0.7655230277152949,0.6312673211834112,0.9039057409000948,0.8098958333333334
forest_conditioned_gru,last_observation,broadleaf,4,128,16,15,0.0026456623066527,0.0023345586913637,0.0030086561204128,0.8671875,3.095443578561147,2.459073843558629,3.956684738000234,0.8515625,1.5184972675308752,1.3126200466517666,1.7286669279139104,0.875,0.7965323209762574,0.6847943506141504,0.9059163104991116,0.828125
forest_conditioned_gru,last_observation,conifer,4,128,16,15,0.0032442735896135,0.0017315138787186,0.0050096015780582,0.8359375,7.196035669247309,3.750712969948848,11.269721919894211,0.8203125,1.7725603819799112,1.151104731783663,2.3884356113255034,0.828125,0.7858144362767537,0.4510843862841526,1.1374796690046782,0.8046875
forest_conditioned_gru,last_observation,bamboo,4,128,16,16,0.0029871985643694,0.0024625039522106,0.0034840182045627,0.875,3.733830858021975,2.928976991213858,4.591497253160924,0.796875,1.861819495558652,1.6147987957639969,2.096904001417696,0.875,0.733077771961689,0.5772923840908334,0.8805554094025863,0.796875
forest_conditioned_gru,validation_selected_physical,overall,1,384,48,43,0.0008653509616716,0.0006110297137046,0.0011570842251595,0.6927083333333334,1.8598574490048163,1.2185663560795228,2.664773987718792,0.7083333333333334,0.4871463374489892,0.3205917755262888,0.6611667575236444,0.6744791666666666,0.241524456025556,0.151371890497069,0.338034165490332,0.6640625
forest_conditioned_gru,validation_selected_physical,broadleaf,1,128,16,15,0.0007537686789873,0.000529063744907,0.0009768540224467,0.6953125,1.0263093829154968,0.7731839047869046,1.3400158611933388,0.6640625,0.4270355749686157,0.2546572955728879,0.5902550950152188,0.65625,0.2311124150951703,0.124692435277005,0.3292715412129955,0.6640625
forest_conditioned_gru,validation_selected_physical,conifer,1,128,16,15,0.0009374686157874,0.0003553887339997,0.0016641923947948,0.6484375,2.9861610730489097,1.2624965784947078,5.034821299711863,0.7109375,0.515610463381576,0.1101803878106319,0.9595472219802252,0.6171875,0.2490594451626142,0.0385481671492258,0.479146131277084,0.6328125
forest_conditioned_gru,validation_selected_physical,bamboo,1,128,16,16,0.0009577503769833,0.0006169431962007,0.0012401865121319,0.734375,1.5522903315722942,1.1122255431488155,2.0060792095959177,0.75,0.5629339225029303,0.3919872224220354,0.7032773833833152,0.75,0.2679688800126314,0.1620314076775685,0.3642486120108515,0.6953125
forest_conditioned_gru,validation_selected_physical,overall,2,384,48,43,0.000880531754499,0.0006103209752879,0.0012067738013662,0.6614583333333334,1.8759867708350335,1.203432136826044,2.721823250537001,0.6744791666666666,0.4991530047636217,0.3346638943902691,0.6794816803080221,0.6822916666666666,0.2466824208927709,0.153713061937759,0.3477889875816397,0.6302083333333334
forest_conditioned_gru,validation_selected_physical,broadleaf,2,128,16,15,0.0007528237435811,0.0005308269498345,0.0009704628492181,0.65625,1.022013125816981,0.7756714887420336,1.3145531239112218,0.671875,0.4582737218198191,0.2700945079018902,0.6489293558939645,0.703125,0.2610837111870447,0.1648784894496202,0.3496372805039087,0.6484375
forest_conditioned_gru,validation_selected_physical,conifer,2,128,16,15,0.0009870212301999,0.0003774602251117,0.0018410877067799,0.59375,3.028638333082199,1.264035243690014,5.221438724001248,0.65625,0.4778818429452836,0.0864040817660642,0.9457998002003124,0.5546875,0.2415410136183103,0.0258308304597934,0.4983940372491872,0.5625
forest_conditioned_gru,validation_selected_physical,bamboo,2,128,16,16,0.0009474077851336,0.000564583061805,0.001261167960547,0.734375,1.539033655077219,1.05068467753008,2.012587520852685,0.6953125,0.6151915966687636,0.439298037096818,0.7560841394070404,0.7890625,0.2615947723388672,0.1468250076053664,0.3636894289404153,0.6796875
forest_conditioned_gru,validation_selected_physical,overall,4,384,48,43,0.0006718705198456,0.0003776954205741,0.0010170075707381,0.5963541666666666,1.9090761126473887,1.188556212481371,2.804690114737943,0.609375,0.3462724003662011,0.1719587171092141,0.5229911369073846,0.6145833333333334,0.1757493944362152,0.0672960269633074,0.2888709785373403,0.5364583333333334
